Module,Module Number,Relationship,First Object Name,First Image Number,First Object Number,Second Object Name,Second Image Number,Second Object Number
TrackObjects,7,Parent,FilterObjects,1,1,FilterObjects,2,1
TrackObjects,7,Parent,FilterObjects,1,2,FilterObjects,2,2
TrackObjects,7,Parent,FilterObjects,2,1,FilterObjects,3,1
TrackObjects,7,Parent,FilterObjects,2,2,FilterObjects,3,2
TrackObjects,7,Parent,FilterObjects,3,1,FilterObjects,4,1
TrackObjects,7,Parent,FilterObjects,3,2,FilterObjects,4,2
TrackObjects,7,Parent,FilterObjects,4,1,FilterObjects,5,1
TrackObjects,7,Parent,FilterObjects,4,2,FilterObjects,5,2
TrackObjects,7,Parent,FilterObjects,5,1,FilterObjects,6,1
TrackObjects,7,Parent,FilterObjects,5,1,FilterObjects,6,3
TrackObjects,7,Parent,FilterObjects,5,2,FilterObjects,6,2
TrackObjects,7,Parent,FilterObjects,6,1,FilterObjects,7,1
TrackObjects,7,Parent,FilterObjects,6,2,FilterObjects,7,2
TrackObjects,7,Parent,FilterObjects,6,3,FilterObjects,7,3
TrackObjects,7,Parent,FilterObjects,7,1,FilterObjects,8,1
TrackObjects,7,Parent,FilterObjects,7,2,FilterObjects,8,2
TrackObjects,7,Parent,FilterObjects,7,3,FilterObjects,8,3
TrackObjects,7,Parent,FilterObjects,8,1,FilterObjects,9,1
TrackObjects,7,Parent,FilterObjects,8,2,FilterObjects,9,2
TrackObjects,7,Parent,FilterObjects,8,2,FilterObjects,9,4
TrackObjects,7,Parent,FilterObjects,8,3,FilterObjects,9,3
TrackObjects,7,Parent,FilterObjects,9,1,FilterObjects,10,1
TrackObjects,7,Parent,FilterObjects,9,2,FilterObjects,10,2
TrackObjects,7,Parent,FilterObjects,9,3,FilterObjects,10,3
TrackObjects,7,Parent,FilterObjects,9,4,FilterObjects,10,4
TrackObjects,7,Parent,FilterObjects,10,1,FilterObjects,11,1
TrackObjects,7,Parent,FilterObjects,10,2,FilterObjects,11,2
TrackObjects,7,Parent,FilterObjects,10,3,FilterObjects,11,3
TrackObjects,7,Parent,FilterObjects,10,4,FilterObjects,11,4
TrackObjects,7,Parent,FilterObjects,11,1,FilterObjects,12,1
TrackObjects,7,Parent,FilterObjects,11,2,FilterObjects,12,2
TrackObjects,7,Parent,FilterObjects,11,3,FilterObjects,12,3
TrackObjects,7,Parent,FilterObjects,11,4,FilterObjects,12,4
TrackObjects,7,Parent,FilterObjects,12,1,FilterObjects,13,1
TrackObjects,7,Parent,FilterObjects,12,2,FilterObjects,13,2
TrackObjects,7,Parent,FilterObjects,12,3,FilterObjects,13,3
TrackObjects,7,Parent,FilterObjects,12,4,FilterObjects,13,4
TrackObjects,7,Parent,FilterObjects,13,1,FilterObjects,14,1
TrackObjects,7,Parent,FilterObjects,13,2,FilterObjects,14,2
TrackObjects,7,Parent,FilterObjects,13,3,FilterObjects,14,3
TrackObjects,7,Parent,FilterObjects,13,4,FilterObjects,14,4
TrackObjects,7,Parent,FilterObjects,14,1,FilterObjects,15,1
TrackObjects,7,Parent,FilterObjects,14,2,FilterObjects,15,2
TrackObjects,7,Parent,FilterObjects,14,3,FilterObjects,15,3
TrackObjects,7,Parent,FilterObjects,14,4,FilterObjects,15,4
TrackObjects,7,Parent,FilterObjects,15,1,FilterObjects,16,2
TrackObjects,7,Parent,FilterObjects,15,1,FilterObjects,16,3
TrackObjects,7,Parent,FilterObjects,15,2,FilterObjects,16,1
TrackObjects,7,Parent,FilterObjects,15,2,FilterObjects,16,4
TrackObjects,7,Parent,FilterObjects,15,3,FilterObjects,16,5
TrackObjects,7,Parent,FilterObjects,15,3,FilterObjects,16,6
TrackObjects,7,Parent,FilterObjects,15,3,FilterObjects,16,9
TrackObjects,7,Parent,FilterObjects,15,4,FilterObjects,16,7
TrackObjects,7,Parent,FilterObjects,15,4,FilterObjects,16,8
TrackObjects,7,Parent,FilterObjects,16,1,FilterObjects,17,1
TrackObjects,7,Parent,FilterObjects,16,2,FilterObjects,17,2
TrackObjects,7,Parent,FilterObjects,16,3,FilterObjects,17,3
TrackObjects,7,Parent,FilterObjects,16,4,FilterObjects,17,4
TrackObjects,7,Parent,FilterObjects,16,5,FilterObjects,17,5
TrackObjects,7,Parent,FilterObjects,16,6,FilterObjects,17,6
TrackObjects,7,Parent,FilterObjects,16,7,FilterObjects,17,7
TrackObjects,7,Parent,FilterObjects,16,8,FilterObjects,17,8
TrackObjects,7,Parent,FilterObjects,16,9,FilterObjects,17,8
TrackObjects,7,Parent,FilterObjects,17,1,FilterObjects,18,1
TrackObjects,7,Parent,FilterObjects,17,2,FilterObjects,18,2
TrackObjects,7,Parent,FilterObjects,17,3,FilterObjects,18,3
TrackObjects,7,Parent,FilterObjects,17,4,FilterObjects,18,4
TrackObjects,7,Parent,FilterObjects,17,5,FilterObjects,18,5
TrackObjects,7,Parent,FilterObjects,17,6,FilterObjects,18,6
TrackObjects,7,Parent,FilterObjects,17,7,FilterObjects,18,7
TrackObjects,7,Parent,FilterObjects,17,8,FilterObjects,18,8
TrackObjects,7,Parent,FilterObjects,18,1,FilterObjects,19,1
TrackObjects,7,Parent,FilterObjects,18,2,FilterObjects,19,2
TrackObjects,7,Parent,FilterObjects,18,3,FilterObjects,19,3
TrackObjects,7,Parent,FilterObjects,18,4,FilterObjects,19,4
TrackObjects,7,Parent,FilterObjects,18,5,FilterObjects,19,5
TrackObjects,7,Parent,FilterObjects,18,6,FilterObjects,19,7
TrackObjects,7,Parent,FilterObjects,18,7,FilterObjects,19,6
TrackObjects,7,Parent,FilterObjects,18,8,FilterObjects,19,8
TrackObjects,7,Parent,FilterObjects,19,1,FilterObjects,20,1
TrackObjects,7,Parent,FilterObjects,19,2,FilterObjects,20,2
TrackObjects,7,Parent,FilterObjects,19,3,FilterObjects,20,4
TrackObjects,7,Parent,FilterObjects,19,4,FilterObjects,20,3
TrackObjects,7,Parent,FilterObjects,19,5,FilterObjects,20,5
TrackObjects,7,Parent,FilterObjects,19,6,FilterObjects,20,6
TrackObjects,7,Parent,FilterObjects,19,7,FilterObjects,20,7
TrackObjects,7,Parent,FilterObjects,19,8,FilterObjects,20,8
TrackObjects,7,Parent,FilterObjects,20,1,FilterObjects,21,1
TrackObjects,7,Parent,FilterObjects,20,1,FilterObjects,21,2
TrackObjects,7,Parent,FilterObjects,20,2,FilterObjects,21,3
TrackObjects,7,Parent,FilterObjects,20,2,FilterObjects,21,4
TrackObjects,7,Parent,FilterObjects,20,3,FilterObjects,21,5
TrackObjects,7,Parent,FilterObjects,20,4,FilterObjects,21,6
TrackObjects,7,Parent,FilterObjects,20,4,FilterObjects,21,8
TrackObjects,7,Parent,FilterObjects,20,5,FilterObjects,21,7
TrackObjects,7,Parent,FilterObjects,20,6,FilterObjects,21,9
TrackObjects,7,Parent,FilterObjects,20,6,FilterObjects,21,13
TrackObjects,7,Parent,FilterObjects,20,7,FilterObjects,21,11
TrackObjects,7,Parent,FilterObjects,20,8,FilterObjects,21,10
TrackObjects,7,Parent,FilterObjects,20,8,FilterObjects,21,12
TrackObjects,7,Parent,FilterObjects,21,1,FilterObjects,22,1
TrackObjects,7,Parent,FilterObjects,21,2,FilterObjects,22,2
TrackObjects,7,Parent,FilterObjects,21,3,FilterObjects,22,3
TrackObjects,7,Parent,FilterObjects,21,4,FilterObjects,22,4
TrackObjects,7,Parent,FilterObjects,21,5,FilterObjects,22,5
TrackObjects,7,Parent,FilterObjects,21,6,FilterObjects,22,6
TrackObjects,7,Parent,FilterObjects,21,7,FilterObjects,22,7
TrackObjects,7,Parent,FilterObjects,21,8,FilterObjects,22,9
TrackObjects,7,Parent,FilterObjects,21,9,FilterObjects,22,8
TrackObjects,7,Parent,FilterObjects,21,10,FilterObjects,22,11
TrackObjects,7,Parent,FilterObjects,21,11,FilterObjects,22,10
TrackObjects,7,Parent,FilterObjects,21,12,FilterObjects,22,12
TrackObjects,7,Parent,FilterObjects,21,13,FilterObjects,22,13
TrackObjects,7,Parent,FilterObjects,22,1,FilterObjects,23,1
TrackObjects,7,Parent,FilterObjects,22,2,FilterObjects,23,2
TrackObjects,7,Parent,FilterObjects,22,3,FilterObjects,23,3
TrackObjects,7,Parent,FilterObjects,22,4,FilterObjects,23,4
TrackObjects,7,Parent,FilterObjects,22,5,FilterObjects,23,5
TrackObjects,7,Parent,FilterObjects,22,6,FilterObjects,23,6
TrackObjects,7,Parent,FilterObjects,22,7,FilterObjects,23,7
TrackObjects,7,Parent,FilterObjects,22,8,FilterObjects,23,8
TrackObjects,7,Parent,FilterObjects,22,9,FilterObjects,23,9
TrackObjects,7,Parent,FilterObjects,22,10,FilterObjects,23,10
TrackObjects,7,Parent,FilterObjects,22,11,FilterObjects,23,11
TrackObjects,7,Parent,FilterObjects,22,12,FilterObjects,23,12
TrackObjects,7,Parent,FilterObjects,22,13,FilterObjects,23,13
TrackObjects,7,Parent,FilterObjects,23,1,FilterObjects,24,1
TrackObjects,7,Parent,FilterObjects,23,2,FilterObjects,24,2
TrackObjects,7,Parent,FilterObjects,23,2,FilterObjects,24,4
TrackObjects,7,Parent,FilterObjects,23,3,FilterObjects,24,5
TrackObjects,7,Parent,FilterObjects,23,4,FilterObjects,24,3
TrackObjects,7,Parent,FilterObjects,23,5,FilterObjects,24,6
TrackObjects,7,Parent,FilterObjects,23,6,FilterObjects,24,7
TrackObjects,7,Parent,FilterObjects,23,7,FilterObjects,24,8
TrackObjects,7,Parent,FilterObjects,23,8,FilterObjects,24,9
TrackObjects,7,Parent,FilterObjects,23,9,FilterObjects,24,10
TrackObjects,7,Parent,FilterObjects,23,10,FilterObjects,24,12
TrackObjects,7,Parent,FilterObjects,23,11,FilterObjects,24,11
TrackObjects,7,Parent,FilterObjects,23,12,FilterObjects,24,13
TrackObjects,7,Parent,FilterObjects,23,13,FilterObjects,24,14
TrackObjects,7,Parent,FilterObjects,24,1,FilterObjects,25,1
TrackObjects,7,Parent,FilterObjects,24,2,FilterObjects,25,2
TrackObjects,7,Parent,FilterObjects,24,3,FilterObjects,25,3
TrackObjects,7,Parent,FilterObjects,24,3,FilterObjects,25,7
TrackObjects,7,Parent,FilterObjects,24,4,FilterObjects,25,4
TrackObjects,7,Parent,FilterObjects,24,5,FilterObjects,25,5
TrackObjects,7,Parent,FilterObjects,24,6,FilterObjects,25,6
TrackObjects,7,Parent,FilterObjects,24,7,FilterObjects,25,8
TrackObjects,7,Parent,FilterObjects,24,8,FilterObjects,25,9
TrackObjects,7,Parent,FilterObjects,24,9,FilterObjects,25,10
TrackObjects,7,Parent,FilterObjects,24,9,FilterObjects,25,14
TrackObjects,7,Parent,FilterObjects,24,10,FilterObjects,25,12
TrackObjects,7,Parent,FilterObjects,24,11,FilterObjects,25,11
TrackObjects,7,Parent,FilterObjects,24,12,FilterObjects,25,13
TrackObjects,7,Parent,FilterObjects,24,12,FilterObjects,25,17
TrackObjects,7,Parent,FilterObjects,24,13,FilterObjects,25,15
TrackObjects,7,Parent,FilterObjects,24,14,FilterObjects,25,16
TrackObjects,7,Parent,FilterObjects,24,14,FilterObjects,25,18
TrackObjects,7,Parent,FilterObjects,25,1,FilterObjects,26,1
TrackObjects,7,Parent,FilterObjects,25,1,FilterObjects,26,2
TrackObjects,7,Parent,FilterObjects,25,2,FilterObjects,26,6
TrackObjects,7,Parent,FilterObjects,25,3,FilterObjects,26,3
TrackObjects,7,Parent,FilterObjects,25,4,FilterObjects,26,4
TrackObjects,7,Parent,FilterObjects,25,5,FilterObjects,26,3
TrackObjects,7,Parent,FilterObjects,25,5,FilterObjects,26,10
TrackObjects,7,Parent,FilterObjects,25,6,FilterObjects,26,8
TrackObjects,7,Parent,FilterObjects,25,6,FilterObjects,26,9
TrackObjects,7,Parent,FilterObjects,25,7,FilterObjects,26,5
TrackObjects,7,Parent,FilterObjects,25,8,FilterObjects,26,7
TrackObjects,7,Parent,FilterObjects,25,8,FilterObjects,26,11
TrackObjects,7,Parent,FilterObjects,25,9,FilterObjects,26,12
TrackObjects,7,Parent,FilterObjects,25,10,FilterObjects,26,14
TrackObjects,7,Parent,FilterObjects,25,10,FilterObjects,26,15
TrackObjects,7,Parent,FilterObjects,25,11,FilterObjects,26,13
TrackObjects,7,Parent,FilterObjects,25,12,FilterObjects,26,17
TrackObjects,7,Parent,FilterObjects,25,12,FilterObjects,26,22
TrackObjects,7,Parent,FilterObjects,25,13,FilterObjects,26,16
TrackObjects,7,Parent,FilterObjects,25,14,FilterObjects,26,20
TrackObjects,7,Parent,FilterObjects,25,15,FilterObjects,26,19
TrackObjects,7,Parent,FilterObjects,25,15,FilterObjects,26,24
TrackObjects,7,Parent,FilterObjects,25,16,FilterObjects,26,18
TrackObjects,7,Parent,FilterObjects,25,17,FilterObjects,26,21
TrackObjects,7,Parent,FilterObjects,25,18,FilterObjects,26,23
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,1,FilterObjects,1,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,2,FilterObjects,1,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,2,1,FilterObjects,2,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,2,2,FilterObjects,2,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,3,1,FilterObjects,3,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,3,2,FilterObjects,3,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,4,1,FilterObjects,4,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,4,2,FilterObjects,4,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,5,1,FilterObjects,5,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,5,2,FilterObjects,5,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,6,1,FilterObjects,6,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,6,1,FilterObjects,6,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,6,2,FilterObjects,6,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,6,2,FilterObjects,6,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,6,3,FilterObjects,6,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,6,3,FilterObjects,6,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,7,1,FilterObjects,7,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,7,1,FilterObjects,7,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,7,2,FilterObjects,7,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,7,2,FilterObjects,7,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,7,3,FilterObjects,7,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,7,3,FilterObjects,7,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,8,1,FilterObjects,8,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,8,1,FilterObjects,8,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,8,2,FilterObjects,8,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,8,2,FilterObjects,8,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,8,3,FilterObjects,8,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,8,3,FilterObjects,8,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,9,1,FilterObjects,9,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,9,1,FilterObjects,9,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,9,1,FilterObjects,9,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,9,2,FilterObjects,9,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,9,2,FilterObjects,9,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,9,3,FilterObjects,9,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,9,3,FilterObjects,9,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,9,4,FilterObjects,9,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,9,4,FilterObjects,9,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,9,4,FilterObjects,9,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,10,1,FilterObjects,10,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,10,1,FilterObjects,10,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,10,2,FilterObjects,10,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,10,2,FilterObjects,10,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,10,3,FilterObjects,10,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,10,3,FilterObjects,10,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,10,4,FilterObjects,10,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,10,4,FilterObjects,10,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,11,1,FilterObjects,11,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,11,1,FilterObjects,11,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,11,2,FilterObjects,11,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,11,2,FilterObjects,11,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,11,2,FilterObjects,11,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,11,3,FilterObjects,11,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,11,3,FilterObjects,11,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,11,3,FilterObjects,11,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,11,4,FilterObjects,11,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,11,4,FilterObjects,11,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,12,1,FilterObjects,12,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,12,1,FilterObjects,12,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,12,2,FilterObjects,12,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,12,2,FilterObjects,12,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,12,2,FilterObjects,12,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,12,3,FilterObjects,12,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,12,3,FilterObjects,12,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,12,3,FilterObjects,12,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,12,4,FilterObjects,12,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,12,4,FilterObjects,12,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,13,1,FilterObjects,13,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,13,1,FilterObjects,13,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,13,2,FilterObjects,13,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,13,2,FilterObjects,13,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,13,2,FilterObjects,13,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,13,3,FilterObjects,13,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,13,3,FilterObjects,13,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,13,3,FilterObjects,13,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,13,4,FilterObjects,13,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,13,4,FilterObjects,13,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,14,1,FilterObjects,14,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,14,1,FilterObjects,14,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,14,2,FilterObjects,14,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,14,2,FilterObjects,14,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,14,2,FilterObjects,14,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,14,3,FilterObjects,14,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,14,3,FilterObjects,14,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,14,3,FilterObjects,14,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,14,4,FilterObjects,14,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,14,4,FilterObjects,14,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,15,1,FilterObjects,15,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,15,1,FilterObjects,15,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,15,2,FilterObjects,15,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,15,2,FilterObjects,15,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,15,2,FilterObjects,15,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,15,3,FilterObjects,15,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,15,3,FilterObjects,15,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,15,3,FilterObjects,15,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,15,4,FilterObjects,15,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,15,4,FilterObjects,15,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,1,FilterObjects,16,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,1,FilterObjects,16,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,1,FilterObjects,16,7
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,2,FilterObjects,16,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,2,FilterObjects,16,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,2,FilterObjects,16,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,3,FilterObjects,16,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,3,FilterObjects,16,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,3,FilterObjects,16,5
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,3,FilterObjects,16,6
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,3,FilterObjects,16,9
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,4,FilterObjects,16,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,4,FilterObjects,16,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,4,FilterObjects,16,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,4,FilterObjects,16,5
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,4,FilterObjects,16,7
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,5,FilterObjects,16,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,5,FilterObjects,16,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,5,FilterObjects,16,6
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,5,FilterObjects,16,7
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,5,FilterObjects,16,8
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,6,FilterObjects,16,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,6,FilterObjects,16,5
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,6,FilterObjects,16,8
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,6,FilterObjects,16,9
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,7,FilterObjects,16,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,7,FilterObjects,16,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,7,FilterObjects,16,5
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,7,FilterObjects,16,8
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,8,FilterObjects,16,5
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,8,FilterObjects,16,6
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,8,FilterObjects,16,7
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,8,FilterObjects,16,9
MeasureObjectNeighbors,9,Neighbors,FilterObjects,16,9,FilterObjects,16,3
